node,eventType,count
Main,peer-relay-failed,1409
Main,payout-snapshot,134
Main,local-chain-tip-header,134
Main,chain-tip-relay-dispatch,134
Main,chain-tip-send-complete,794
Main,peer-chain-tip,514
Main,datum-session-close,4
Main,fresh-parent-learned,2
Dallas,peer-chain-tip,786
Dallas,mempool-chain-tip-notification,134
Dallas,payout-snapshot,126
Dallas,state-adopted,8
Dallas,datum-session-close,24
Detroit,peer-chain-tip,795
Detroit,mempool-chain-tip-notification,134
Detroit,payout-snapshot,121
Detroit,datum-session-close,6
Detroit,state-adopted,13
Evomining,peer-relay-failed,2224
Evomining,peer-chain-tip,264
Evomining,state-adopted,39
Evomining,datum-refresh-request,39
Evomining,payout-snapshot,156
Evomining,local-chain-tip-header,268
Evomining,chain-tip-relay-dispatch,268
Evomining,chain-tip-send-complete,1572
